product_id,sku,product_name,description,category,subcategory,vendor_id,price,cost,currency,weight_kg,stock_quantity,reorder_level,rating,review_count,is_active,created_date,last_updated,tags,_source_file,_loaded_at
PRD-000001,SKU-39256,compact bluetooth speaker,Premium compact bluetooth speaker designed for maximum performance.,Electronics,Smartwatches,VND-002,148.13,64.6,USD,2.43,287,19,5.5,1763,yes,23-Aug-2023,2024-02-11T00:00:00,"electronics,smartwatches,bestseller",products.csv,2026-02-10T22:25:28.068809
PRD-000002,SKU-89131,Professional Card Game,High-quality professional card game perfect for everyday use.,Toys & Games,Educational Toys,VND-007,271.87,150.69,USD,15.75,98,33,4.5,1332,no,03/04/2020,2020-10-09T00:00:00,"toys-games,educational-toys,new-arrival,premium",products.csv,2026-02-10T22:25:28.068809
PRD-000003,SKU-80010,Compact Running Shorts,Discover the ultimate compact running shorts for your needs.,Clothing,Accessories,VND-005,731.83,478.52,USD,19.42,161,39,2.3,1170,yes,15/05/2020,2020-09-27T00:00:00,"clothing,accessories,new-arrival",products.csv,2026-02-10T22:25:28.068809
PRD-000004,SKU-38746,Premium Denim Jeans,High-quality premium denim jeans perfect for everyday use.,Clothing,Accessories,VND-005,997.34,605.82,USD,17.04,305,31,1.5,913,1,12-19-2022,2023-05-18T00:00:00,"clothing,accessories,new-arrival,trending",products.csv,2026-02-10T22:25:28.068809
PRD-000005,SKU-76542,Compact Monitor Stand,Our Compact Monitor Stand combines style and functionality.,Electronics,Cameras,VND-001,913.49,362.06,USD,4.12,-21,46,4.3,645,True,2022-09-27,2022-11-09T00:00:00,"electronics,cameras,trending,bestseller,eco-friendly",products.csv,2026-02-10T22:25:28.068809
PRD-000006,SKU-82063,Classic Water Filter,Experience the best in home & kitchen with our Classic Water Filter.,Home & Kitchen,Storage,VND-003,173.47,67.32,USD,17.85,191,14,1.1,482,0,2022/11/25,2023-03-22T00:00:00,"home-kitchen,storage,bestseller",products.csv,2026-02-10T22:25:28.068809
PRD-000007,SKU-97684,Smart Technical Manual,High-quality smart technical manual perfect for everyday use.,Books & Media,Magazines,VND-006,490.55,290.06,USD,20.21,220,16,4.9,2036,yes,2022/04/21,2022-07-28T00:00:00,"books-media,magazines,eco-friendly",products.csv,2026-02-10T22:25:28.068809
PRD-000008,SKU-70637,Compact Shampoo Formula,Premium compact shampoo formula designed for maximum performance.,Beauty & Personal Care,Fragrances,VND-008,257.3,172.55,USD,20.92,434,39,-1.0,2336,1,2022/04/12,2022-11-14T00:00:00,"beauty-personal-care,fragrances,premium,eco-friendly,trending",products.csv,2026-02-10T22:25:28.068809
PRD-000009,SKU-17665,Premium Cookware Set,Experience the best in home & kitchen with our Premium Cookware Set.,Home & Kitchen,Furniture,VND-003,583.38,313.75,USD,21.33,41,49,4.8,671,0,20-May-2020,2020-12-20T00:00:00,"home-kitchen,furniture,eco-friendly,budget-friendly,premium",products.csv,2026-02-10T22:25:28.068809
PRD-000010,SKU-51180,Modern Travel Guide,Our Modern Travel Guide combines style and functionality.,Books & Media,Non-Fiction,VND-006,246.29,117.06,USD,1.91,51,44,4.5,2478,true,12-Mar-2021,2022-01-19T00:00:00,"books-media,non-fiction,eco-friendly,bestseller,budget-friendly",products.csv,2026-02-10T22:25:28.068809
PRD-000011,SKU-24029,Classic Wool Sweater,High-quality classic wool sweater perfect for everyday use. - Special: 中文,Clothing,Women's Wear,VND-005,744.98,444.37,USD,6.67,433,45,1.5,3503,true,2023/07/23,2024-05-05T00:00:00,"clothing,women's-wear,bestseller",products.csv,2026-02-10T22:25:28.068809
