vendor_id,vendor_name,vendor_code,country,country_code,region,status,reliability_score,lead_time_days,payment_terms,currency,contact_primary_name,contact_email,contact_phone,address_street,address_city,address_state,address_postal_code,address_country,categories,certifications,created_at,updated_at,_source_file,_loaded_at
VND-001,TechFlow Electronics,TECHFLOW,USA,US,North America,active,94.5,7,NET30,USD,John Mitchell,john.mitchell@techflow.com,+1-555-0101,1200 Tech Park Drive,San Jose,CA,95110,USA,"[""electronics"", ""computers"", ""accessories""]","[""ISO9001"", ""ISO14001""]",2020-03-15T10:00:00Z,2024-11-20T14:30:00Z,vendors.json,2026-02-10T22:25:28.068809
VND-002,Global Gadgets Ltd,GLOBGAD,China,CN,Asia Pacific,active,87.2,21,NET45,USD,Wei Chen,wei.chen@globalgadgets.cn,+86-21-5555-0102,88 Innovation Road,Shenzhen,Guangdong,518000,China,"[""electronics"", ""mobile"", ""accessories""]","[""ISO9001""]",2019-08-22T08:00:00Z,2024-10-15T09:45:00Z,vendors.json,2026-02-10T22:25:28.068809
VND-003,Nordic Home Essentials,NORDHOME,Sweden,SE,Europe,active,96.8,14,NET30,EUR,Erik Lindqvist,erik@nordichome.se,+46-8-555-0103,Kungsgatan 45,Stockholm,,111 56,Sweden,"[""home"", ""kitchen"", ""furniture""]","[""ISO9001"", ""ISO14001"", ""FSC""]",2021-01-10T11:00:00Z,2024-12-01T16:20:00Z,vendors.json,2026-02-10T22:25:28.068809
VND-004,Aussie Sports Gear,AUSSPORT,Australia,AU,Asia Pacific,active,91.3,18,NET30,AUD,Sarah Thompson,sarah.t@aussiesports.com.au,+61-2-5555-0104,42 Harbour Street,Sydney,NSW,2000,Australia,"[""sports"", ""outdoor"", ""fitness""]","[""ISO9001""]",2020-06-18T09:30:00Z,2024-09-28T11:15:00Z,vendors.json,2026-02-10T22:25:28.068809
VND-005,FashionFirst Italia,FASHITA,Italy,IT,Europe,active,89.7,12,NET30,EUR,Marco Rossi,m.rossi@fashionfirst.it,+39-02-5555-0105,Via della Moda 25,Milano,,20121,Italy,"[""clothing"", ""accessories"", ""footwear""]","[""ISO9001"", ""OEKO-TEX""]",2019-11-05T14:00:00Z,2024-11-10T10:30:00Z,vendors.json,2026-02-10T22:25:28.068809
VND-006,BookWorld Publishing,BOOKWRLD,United Kingdom,GB,Europe,active,98.1,5,NET15,GBP,Emma Clarke,emma.clarke@bookworld.co.uk,+44-20-5555-0106,100 Publishing Lane,London,,WC2R 1LA,United Kingdom,"[""books"", ""media"", ""stationery""]","[""ISO9001"", ""FSC""]",2018-04-20T10:00:00Z,2024-12-05T09:00:00Z,vendors.json,2026-02-10T22:25:28.068809
VND-007,MapleCraft Toys,MAPLETOY,Canada,CA,North America,active,93.4,10,NET30,CAD,Pierre Dubois,pierre@maplecraft.ca,+1-416-555-0107,500 Maple Avenue,Toronto,ON,M5V 2H1,Canada,"[""toys"", ""games"", ""children""]","[""ISO9001"", ""CPSC"", ""CE""]",2020-09-12T08:30:00Z,2024-10-30T14:45:00Z,vendors.json,2026-02-10T22:25:28.068809
VND-008,BeautyBliss Cosmetics,BEAUTYBL,France,FR,Europe,active,95.2,8,NET30,EUR,Sophie Martin,sophie@beautybliss.fr,+33-1-5555-0108,15 Avenue des Champs-Élysées,Paris,,75008,France,"[""beauty"", ""cosmetics"", ""skincare""]","[""ISO9001"", ""ISO22716"", ""Cruelty-Free""]",2019-05-28T12:00:00Z,2024-11-25T11:30:00Z,vendors.json,2026-02-10T22:25:28.068809
VND-009,QuickSupply Co,QUICKSUP,USA,US,North America,pending,,,NET30,USD,Tom Wilson,tom@quicksupply.com,,789 Quick Lane,Denver,CO,80202,USA,"[""general""]",[],2024-11-01T09:00:00Z,2024-11-01T09:00:00Z,vendors.json,2026-02-10T22:25:28.068809
VND-010,Discontinued Supplies Inc,DISCONT,USA,US,North America,inactive,72.5,30,NET60,USD,,,,,Unknown,,,USA,"[""electronics""]",[],2017-01-15T10:00:00Z,2023-06-30T16:00:00Z,vendors.json,2026-02-10T22:25:28.068809
