review_id,product_id,customer_id,rating,title,review_text,helpful_votes,verified_purchase,review_date,sentiment,images,response_responder,response_response_text,response_response_date,response,_source_file,_loaded_at
REV-000001,PRD-000001,CUS-00000045,5,Amazing sound quality!,I've been using this bluetooth speaker for a month now and I'm blown away by the sound quality. The bass is deep and the highs are crystal clear. Battery life is exactly as advertised - I get a solid 10 hours on a single charge. Highly recommend!,45,true,2025-02-15,positive,"[""img_001.jpg"", ""img_002.jpg""]",TechStore Team,Thank you for your wonderful review! We're thrilled you're enjoying the sound quality. Rock on! 🎵,2025-02-16,,product_reviews.json,2026-02-11T07:14:54.110402
REV-000002,PRD-000001,CUS-00000089,4,Good but not great,"The speaker sounds good for the price point. My only complaint is that the Bluetooth range isn't as good as my old speaker - starts cutting out past 20 feet. Otherwise, build quality feels solid and it looks nice on my desk.",23,true,2025-02-20,positive,[],,,,,product_reviews.json,2026-02-11T07:14:54.110402
REV-000003,PRD-000001,CUS-00000123,2,Disappointed with battery,The sound is okay but the battery life is nowhere near 10 hours. I'm getting maybe 4-5 hours max. Either mine is defective or the specs are exaggerated. Considering returning it.,67,true,2025-02-25,negative,[],TechStore Support,We're sorry to hear about your experience. This doesn't sound right - you may have received a defective unit. Please contact our support team at support@techstore.com and we'll arrange a replacement. Your satisfaction is our priority!,2025-02-26,,product_reviews.json,2026-02-11T07:14:54.110402
REV-000004,PRD-000012,CUS-00000234,5,Best keyboard I've ever owned,"As a software developer who types 8+ hours a day, a good keyboard is essential. This mechanical keyboard has transformed my typing experience. The tactile feedback is perfect, the RGB lighting is customizable, and the build quality is exceptional. Worth every penny!",156,true,2025-01-10,positive,"[""kb_setup.jpg""]",,,,,product_reviews.json,2026-02-11T07:14:54.110402
REV-000005,PRD-000012,CUS-00000345,3,Too loud for office use,"Great keyboard in terms of feel and build quality, but it's WAY too loud for an office environment. My coworkers have complained. Had to switch back to my membrane keyboard for work. Would be perfect for home use though.",89,true,2025-01-15,neutral,[],TechStore Team,Thank you for your honest feedback! We also offer a 'Silent' version of this keyboard with dampened switches that's much quieter while maintaining the mechanical feel. Check out the 'Office Series' in our store!,2025-01-16,,product_reviews.json,2026-02-11T07:14:54.110402
REV-000006,PRD-000004,CUS-00000456,4,"Great monitor, minor dead pixel","Picture quality is stunning - 4K really makes a difference for video editing. Colors are accurate out of the box. However, I did notice one dead pixel in the upper left corner. It's barely noticeable during normal use but frustrating for a premium product. Still keeping it because the overall quality is excellent.",34,true,2025-03-01,positive,"[""monitor_setup.jpg""]",,,,,product_reviews.json,2026-02-11T07:14:54.110402
REV-000007,PRD-000007,CUS-00000567,5,Changed my work life,"I was skeptical about standing desks but decided to try one after back pain from sitting all day. This desk is rock solid - no wobble even at max height. The motor is quiet and smooth. After 2 months, my back pain is gone and I have more energy throughout the day. Best work investment I've made!",203,true,2025-02-28,positive,"[""desk_before.jpg"", ""desk_after.jpg"", ""setup_complete.jpg""]",TechStore Wellness,What an amazing transformation! We're so happy to hear about your improved health and energy. Thank you for sharing your story - it inspires us to keep offering products that make a real difference!,2025-03-01,,product_reviews.json,2026-02-11T07:14:54.110402
REV-000008,PRD-000005,CUS-00000678,4,Great noise cancellation,"The ANC on these headphones is impressive - completely blocks out airplane noise and office chatter. Sound quality is good, not audiophile-level but more than adequate for most users. Comfortable for long periods. Only downside is the app is a bit clunky.",78,true,2025-03-05,positive,[],,,,,product_reviews.json,2026-02-11T07:14:54.110402
REV-000009,PRD-000008,CUS-00000789,5,My back thanks me,"Spent weeks researching ergonomic chairs and this one ticks all the boxes. Lumbar support is adjustable, arm rests move in every direction, and the mesh back keeps me cool. Assembly took about 45 minutes but instructions were clear. Expensive but you get what you pay for.",112,true,2025-03-10,positive,"[""chair_unbox.jpg"", ""chair_assembled.jpg""]",,,,,product_reviews.json,2026-02-11T07:14:54.110402
REV-000010,PRD-000010,CUS-00000890,1,DOA - Doesn't turn on,Tablet was dead on arrival. Won't turn on even after charging for 24 hours. Very disappointed - this was supposed to be a birthday gift. Now I have to deal with returns during the holiday season. Not happy.,45,true,2025-03-12,negative,[],TechStore Support,"We sincerely apologize for this terrible experience, especially during the holidays. This is unacceptable. Please contact us immediately at support@techstore.com or call 1-800-TECHSTOR. We'll expedite a replacement with free overnight shipping and include a small gift for the inconvenience.",2025-03-12,,product_reviews.json,2026-02-11T07:14:54.110402
