vendor_id,vendor_name,vendor_code,country,country_code,lead_time_days,payment_terms,currency,contact_primary_name,contact_email,contact_phone,address_street,address_city,address_state,address_postal_code,address_country,categories,certifications,created_at,updated_at,region,reliability_score,status,source_file,loaded_at
VND-006,BookWorld Publishing,BOOKWRLD,United Kingdom,GB,5,NET15,GBP,Emma Clarke,emma.clarke@bookworld.co.uk,442055550106,100 Publishing Lane,London,,WC2R 1LA,United Kingdom,"[""books"", ""media"", ""stationery""]","[""ISO9001"", ""FSC""]",2018-04-20,2024-12-05,Europe,98.1,active,vendors.json,2026-02-10T22:33:04.850936
VND-001,TechFlow Electronics,TECHFLOW,USA,US,7,NET30,USD,John Mitchell,john.mitchell@techflow.com,15550101,1200 Tech Park Drive,San Jose,CA,95110,USA,"[""electronics"", ""computers"", ""accessories""]","[""ISO9001"", ""ISO14001""]",2020-03-15,2024-11-20,North America,94.5,active,vendors.json,2026-02-10T22:33:04.850936
VND-003,Nordic Home Essentials,NORDHOME,Sweden,SE,14,NET30,EUR,Erik Lindqvist,erik@nordichome.se,4685550103,Kungsgatan 45,Stockholm,,111 56,Sweden,"[""home"", ""kitchen"", ""furniture""]","[""ISO9001"", ""ISO14001"", ""FSC""]",2021-01-10,2024-12-01,Europe,96.8,active,vendors.json,2026-02-10T22:33:04.850936
VND-002,Global Gadgets Ltd,GLOBGAD,China,CN,21,NET45,USD,Wei Chen,wei.chen@globalgadgets.cn,862155550102,88 Innovation Road,Shenzhen,Guangdong,518000,China,"[""electronics"", ""mobile"", ""accessories""]","[""ISO9001""]",2019-08-22,2024-10-15,Asia Pacific,87.2,active,vendors.json,2026-02-10T22:33:04.850936
VND-008,BeautyBliss Cosmetics,BEAUTYBL,France,FR,8,NET30,EUR,Sophie Martin,sophie@beautybliss.fr,33155550108,15 Avenue des Champs-Élysées,Paris,,75008,France,"[""beauty"", ""cosmetics"", ""skincare""]","[""ISO9001"", ""ISO22716"", ""Cruelty-Free""]",2019-05-28,2024-11-25,Europe,95.2,active,vendors.json,2026-02-10T22:33:04.850936
VND-010,Discontinued Supplies Inc,DISCONT,USA,US,30,NET60,USD,,,,,Unknown,,,USA,"[""electronics""]",[],2017-01-15,2023-06-30,North America,72.5,inactive,vendors.json,2026-02-10T22:33:04.850936
VND-009,QuickSupply Co,QUICKSUP,USA,US,,NET30,USD,Tom Wilson,tom@quicksupply.com,,789 Quick Lane,Denver,CO,80202,USA,"[""general""]",[],2024-11-01,2024-11-01,North America,,pending,vendors.json,2026-02-10T22:33:04.850936
VND-005,FashionFirst Italia,FASHITA,Italy,IT,12,NET30,EUR,Marco Rossi,m.rossi@fashionfirst.it,390255550105,Via della Moda 25,Milano,,20121,Italy,"[""clothing"", ""accessories"", ""footwear""]","[""ISO9001"", ""OEKO-TEX""]",2019-11-05,2024-11-10,Europe,89.7,active,vendors.json,2026-02-10T22:33:04.850936
VND-007,MapleCraft Toys,MAPLETOY,Canada,CA,10,NET30,CAD,Pierre Dubois,pierre@maplecraft.ca,14165550107,500 Maple Avenue,Toronto,ON,M5V 2H1,Canada,"[""toys"", ""games"", ""children""]","[""ISO9001"", ""CPSC"", ""CE""]",2020-09-12,2024-10-30,North America,93.4,active,vendors.json,2026-02-10T22:33:04.850936
VND-004,Aussie Sports Gear,AUSSPORT,Australia,AU,18,NET30,AUD,Sarah Thompson,sarah.t@aussiesports.com.au,61255550104,42 Harbour Street,Sydney,NSW,2000,Australia,"[""sports"", ""outdoor"", ""fitness""]","[""ISO9001""]",2020-06-18,2024-09-28,Asia Pacific,91.3,active,vendors.json,2026-02-10T22:33:04.850936
