product_id,vendor_id,sku,product_name,description,category,subcategory,currency,price,cost,stock_quantity,reorder_level,weight_kg,rating,review_count,is_active,tags,created_date,last_updated,source_file,loaded_at
PRD-000223,VND-005,SKU-89058,Ultra Casual Sneakers,High-quality ultra casual sneakers perfect for everyday use.,Clothing,Kids' Wear,USD,950.63,400.31,50,49,12.48,2.5,789,true,"clothing,kids'-wear,budget-friendly,eco-friendly,trending",2024-08-27,2024-10-05,products.csv,2026-02-11T07:14:54.110402
PRD-000356,VND-002,SKU-29420,Premium Monitor Stand,Premium premium monitor stand designed for maximum performance.,Electronics,Headphones,USD,37.68,14.48,464,43,22.34,4.9,3199,true,"electronics,headphones,new-arrival",2020/10/12,2021-07-01,products.csv,2026-02-11T07:14:54.110402
PRD-000073,VND-006,SKU-96535,Compact Technical Manual,Our Compact Technical Manual combines style and functionality.,Books & Media,Educational,USD,526.03,316.55,497,40,15.69,2.6,1974,true,"books-media,educational,budget-friendly,premium",2023/08/10,2023-12-03,products.csv,2026-02-11T07:14:54.110402
PRD-000483,VND-001,SKU-41939,Deluxe Power Bank,Experience the best in electronics with our Deluxe Power Bank.,Electronics,Laptops,USD,861.97,453.8,411,25,9.76,1.3,3387,false,"electronics,laptops,new-arrival,sale",28/09/2023,2024-08-13,products.csv,2026-02-11T07:14:54.110402
PRD-000405,VND-003,SKU-26186,Smart Kitchen Scale,Our Smart Kitchen Scale combines style and functionality.,Home & Kitchen,Bedding,USD,106.0,53.1,209,44,19.46,2.5,3212,false,"home-kitchen,bedding,trending,budget-friendly",2021/03/21,2021-07-14,products.csv,2026-02-11T07:14:54.110402
PRD-000107,VND-003,SKU-93789,Compact Food Processor,Discover the ultimate compact food processor for your needs.,Home & Kitchen,Storage,USD,961.05,358.31,352,30,14.76,5.0,1809,true,"home-kitchen,storage,bestseller,trending,new-arrival",2020-12-29,2021-11-21,products.csv,2026-02-11T07:14:54.110402
PRD-000440,VND-004,SKU-99302,Premium Fitness Tracker,Experience the best in sports & outdoors with our Premium Fitness Tracker.,Sports & Outdoors,Camping Gear,USD,590.99,255.73,82,16,1.87,1.1,3305,false,"sports-outdoors,camping-gear,premium,trending,budget-friendly",24-May-2021,2022-03-13,products.csv,2026-02-11T07:14:54.110402
PRD-000295,VND-007,SKU-80202,Advanced Remote Control Car,Premium advanced remote control car designed for maximum performance.,Toys & Games,Educational Toys,USD,197.95,106.8,235,29,5.63,1.6,4115,true,"toys-games,educational-toys,sale",07-29-2024,2025-07-16,products.csv,2026-02-11T07:14:54.110402
PRD-000298,VND-008,SKU-77559,ESSENTIAL PERFUME ESSENCE,High-quality essential perfume essence perfect for everyday use.,Beauty & Personal Care,Skincare,USD,653.59,361.39,488,38,6.1,4.5,3009,true,"beauty-personal-care,skincare,bestseller",2024/03/06,2024-03-11,products.csv,2026-02-11T07:14:54.110402
PRD-000166,VND-001,SKU-21830,classic tablet pro,High-quality classic tablet pro perfect for everyday use.,Electronics,Cameras,USD,993.47,397.33,283,26,20.57,1.6,2460,false,"electronics,cameras,trending,eco-friendly,new-arrival",14-Mar-2023,2023-04-30,products.csv,2026-02-11T07:14:54.110402
PRD-000475,VND-003,SKU-55539,Deluxe Water Filter,Experience the best in home & kitchen with our Deluxe Water Filter.,Home & Kitchen,Furniture,USD,769.63,415.23,473,44,2.25,2.4,1306,true,"home-kitchen,furniture,budget-friendly",2022/08/13,2023-06-02,products.csv,2026-02-11T07:14:54.110402
PRD-000311,VND-001,SKU-82063,Professional USB Hub,Our Professional USB Hub combines style and functionality.,Electronics,Smartphones,USD,219.85,123.14,6,23,9.15,3.4,4786,false,"electronics,smartphones,bestseller",26/04/2024,2024-11-08,products.csv,2026-02-11T07:14:54.110402
PRD-000220,VND-001,SKU-46356,Compact Monitor Stand,Discover the ultimate compact monitor stand for your needs. - Special: 日本語,Electronics,Laptops,USD,949.29,608.04,111,40,-2.57,1.4,3002,true,"electronics,laptops,new-arrival,trending,bestseller",31/07/2021,2022-07-23,products.csv,2026-02-11T07:14:54.110402
PRD-000330,VND-008,SKU-44006,Essential Nail Polish Set,Discover the ultimate essential nail polish set for your needs.,Beauty & Personal Care,Personal Hygiene,USD,192.23,72.94,274,47,5.05,1.0,1184,false,"beauty-personal-care,personal-hygiene,budget-friendly,premium,sale",2020/11/25,2021-05-09,products.csv,2026-02-11T07:14:54.110402
